1	['others', 'rate', 'movie', 'on', 'more', 'important', 'base', 'like', 'being', 'entertained', 'which', 'is', 'why', 'most', 'people', 'never', 'agree', 'with', 'the', 'critic']
1	['this', 'happy', 'go', 'luck', 'military', 'swashbuckler', 'based', 'rather', 'loosely', 'on', 'rudyard', "kipling's", 'memorable', 'poem', 'a', 'well', 'a', 'his', 'novel', 'soldiers_three', 'qualifies', 'a', 'first', 'rate', 'entertainment', 'about', 'the', 'british_imperial_army', 'in', 'india', 'in', 'the', '1880s']
0	['the', 'original', 'film', 'hodet_over_vannet', 'is', 'witty', 'comedy', 'of', 'error', 'that', 'would', 'rate', '8/10']
0	['when', 'saw', 'the', 'preview', 'for', 'this', 'movie', "didn't", 'expect', 'much', 'to', 'begin', 'with', 'around', 'second', 'rate', 'teen', 'horror', 'movie']
0	['it', 'aired', 'twice', 'and', 'wa', 'ranked', 'and', 'out', 'of', 'translation', 'this', 'is', 'the', 'lowest', 'rated', 'show', 'on', 'any', 'nationally', 'broadcast', 'network', 'and', 'deservedly', 'so']
0	["it's", 'a', 'unrealistic', 'a', 'it', 'get', 'and', 'it', 'richly', 'deserves', 'to', 'be', 'canceled', 'the', 'only', 'mystery', 'is', 'why', 'cw', 'felt', 'compelled', 'to', 'put', 'on', 'it', 'inaugural', 'schedule', 'the', 'lowest', 'rated', 'show', 'in', 'memory', 'after', 'two', 'year', 'of', 'continued', 'commercial', 'and', 'artistic', 'failure']
0	['the', 'biggest', 'flaw', 'is', 'that', 'it', 'is', 'so', 'predictable', 'that', 'is', 'the', 'reason', 'why', 'rated', 'it', 'so', 'low']
0	["don't", 'bother', 'and', 'one', 'more', 'thing', 'before', 'any', 'movie', 'usually', 'check', 'user', 'comment', 'and', 'rating', 'on', 'this', 'site', 'point', 'and', 'give', 'this', 'movie', 'try', 'now', "i'm", 'wondering', 'who', 'rate', 'this', 'movie', 'by', 'giving', 'it', 'more', 'than', 'point']
0	['but', 'if', 'we', 'did', 'the', 'power', 'company', 'would', 'react', 'to', '50%', 'reduction', 'of', 'energy', 'by', 'calling', 'it', '50%', 'loss', 'in', 'revenue', 'and', 'recouping', 'their', 'loss', 'by', 'raising', 'the', 'rate', 'by', '50%']
1	['after', 'seeing', 'the', 'whole', 'film', 'for', 'the', 'first', 'time', 'rate', 'it', 'a', '7/10', 'with', 'potential', 'to', 'become', 'an', '8/10']
1	['so', "let's", 'focus', 'on', 'the', 'movie', 'and', 'the', 'message', 'have', 'rated', 'this', 'movie', 'out', 'of', '10', 'for', 'the', 'age', 'range', 'to', 'year', 'and', 'for', 'family', 'movie']
0	['skip', 'it', 'and', 'rent', "girl's", 'nite_out', 'instead', 'rated', 'for', 'strong_graphic_violence_profanity_brief_nudity', 'and', 'sexual_situations']
1	['symbolic', 'of', 'the', 'end', 'of', 'innocence', 'in', 'american', 'film', 'since', 'it', 'wa', 'the', 'only', 'rated', 'film', 'to', 'win', 'best_picture_oscar', 'jon', 'voigt', 'is', 'the', 'male', 'hustler', 'who', 'come', 'to', 'the', 'big', 'city', 'expecting', 'to', 'find', 'woman', 'an', 'easy', 'way', 'to', 'make', 'money', 'when', 'they', 'fight', 'over', 'his', 'body', 'but', 'soon', 'find', 'the', 'city', 'is', 'cold', 'place', 'with', 'no', 'welcome', 'mat', 'for', 'his', 'ilk']
1	['what', 'is', 'interesting', 'to', 'me', 'is', 'how', 'when', 'midnight', 'cowboy', 'came', 'out', 'in', 'it', 'wa', 'so', 'shocking', 'to', 'viewer', 'that', 'it', 'wa', 'rated']
